Data
ROI#,average ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#2[1],Subject#2[2],Subject#2[3],Subject#3[1],Subject#3[2],Subject#3[3],Subject#4[1],Subject#4[2],Subject#4[3],Subject#5[1],Subject#5[2],Subject#5[3],Subject#6[1],Subject#6[2],Subject#6[3],Subject#7[1],Subject#7[2],Subject#7[3],Subject#8[1],Subject#8[2],Subject#8[3],Subject#9[1],Subject#9[2],Subject#9[3],Subject#10[1],Subject#10[2],Subject#10[3],Subject#11[1],Subject#11[2],Subject#11[3],Subject#12[1],Subject#12[2],Subject#12[3]
1,389,50,1.000000,-0.191653,-0.493451,0.301798,0.245673,0.260941,-0.015268,0.166000,0.005015,0.160984,-0.287259,-0.243927,-0.043332,-0.005934,-0.101750,0.095817,0.264800,-0.098863,0.363664,-0.292182,-0.293457,0.001275,-0.080105,-0.413454,0.333350,0.129915,0.084973,0.044941,0.443683,0.115841,0.327842,-0.049558,0.014083,-0.063641,1.026347,0.629181,0.397166
2,389,50,1.000000,0.257694,0.189607,0.068087,0.209477,0.093162,0.116315,0.054902,-0.237715,0.292617,0.863800,0.651888,0.211912,1.224647,1.212171,0.012477,0.360509,0.289837,0.070672,-0.174240,-0.151769,-0.022471,0.430010,0.366926,0.063083,1.349591,1.104567,0.245024,0.422975,0.323090,0.099885,0.527936,0.533900,-0.005964,0.716849,0.491854,0.224995
3,389,50,1.000000,-0.100084,-0.292232,0.192148,0.201095,0.156776,0.044319,0.181850,-0.022099,0.203950,0.600362,0.482501,0.117861,0.036921,0.094679,-0.057758,0.020047,-0.363505,0.383552,-0.686790,-0.407855,-0.278935,0.304294,-0.010560,0.314854,0.174641,0.091490,0.083151,-0.108467,-0.421532,0.313064,0.095916,0.058708,0.037208,0.459302,0.374422,0.084880
4,163,50,1.000000,-0.247096,-1.488154,1.241058,-0.329263,0.129609,-0.458871,-0.619946,-1.091695,0.471749,0.635217,0.371329,0.263888,0.573980,-0.143871,0.717851,0.690799,0.389362,0.301437,-0.273016,-0.190678,-0.082338,-0.515832,-0.464713,-0.051119,0.304250,-0.187445,0.491695,-1.645512,-2.604911,0.959399,-0.364455,-0.945381,0.580926,1.183475,0.416648,0.766827
5,378,50,1.000000,0.725102,0.405945,0.319157,0.686977,0.618165,0.068812,0.888566,0.140604,0.747962,-0.155117,-0.252609,0.097491,0.606706,0.324337,0.282369,1.242044,1.077020,0.165024,-0.479665,-0.114991,-0.364674,0.491467,0.289031,0.202436,0.966384,0.519386,0.446998,1.172068,0.173109,0.998959,-0.451007,-0.172138,-0.278868,1.221537,0.792521,0.429016

Weights
ROI#,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000

quality control (localizer mask sizes)
Subject#,Session/Partition#,filename,ROI#1,ROI#2,ROI#3,ROI#4,ROI#5
1,1,/users/evelina9/more_evelina_files/MEGADATA/152_KAN_RHnonlit_01/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50
2,1,/users/evelina9/more_evelina_files/MEGADATA/138_KAN_RHnonlit_02/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50
3,1,/users/evelina9/more_evelina_files/MEGADATA/136_KAN_RHnonlit_03/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50
4,1,/users/evelina9/more_evelina_files/MEGADATA/194_KAN_RHnonlit_04/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50
5,1,/users/evelina9/more_evelina_files/MEGADATA/097_KAN_RHnonlit_05/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50
6,1,/users/evelina9/more_evelina_files/MEGADATA/135_KAN_RHnonlit_06/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50
7,1,/users/evelina9/more_evelina_files/MEGADATA/197_KAN_RHnonlit_07/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50
8,1,/users/evelina9/more_evelina_files/MEGADATA/198_KAN_RHnonlit_08/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50
9,1,/users/evelina9/more_evelina_files/MEGADATA/018_KAN_RHnonlit_09/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50
10,1,/users/evelina9/more_evelina_files/MEGADATA/049_KAN_RHnonlit_10/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50
11,1,/users/evelina9/more_evelina_files/MEGADATA/201_KAN_RHnonlit_11/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50
12,1,/users/evelina9/more_evelina_files/MEGADATA/175_KAN_RHnonlit_12/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50
