Data
ROI#,ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#2[1],Subject#2[2],Subject#2[3],Subject#3[1],Subject#3[2],Subject#3[3],Subject#4[1],Subject#4[2],Subject#4[3],Subject#5[1],Subject#5[2],Subject#5[3],Subject#6[1],Subject#6[2],Subject#6[3],Subject#7[1],Subject#7[2],Subject#7[3],Subject#8[1],Subject#8[2],Subject#8[3],Subject#9[1],Subject#9[2],Subject#9[3],Subject#10[1],Subject#10[2],Subject#10[3],Subject#11[1],Subject#11[2],Subject#11[3],Subject#12[1],Subject#12[2],Subject#12[3]
1,2948,294,1.000000,0.889642,0.194876,0.694766,0.894492,0.309604,0.584888,0.833109,0.211150,0.621959,2.376872,0.421652,1.955220,1.828445,0.961463,0.866981,1.241489,0.225375,1.016113,1.298051,-0.117160,1.415210,1.690980,0.693567,0.997413,1.548247,0.554805,0.993441,1.543014,0.339845,1.203169,1.561840,0.605324,0.956516,2.498450,1.171945,1.326505
2,1627,162,1.000000,0.618256,0.040082,0.578174,0.685637,0.023614,0.662023,1.320062,0.216028,1.104034,1.970442,0.372956,1.597486,0.953543,0.385359,0.568184,1.568328,0.412522,1.155806,0.655925,-0.461400,1.117325,1.862659,0.401334,1.461325,1.148226,0.162680,0.985547,1.282733,0.067481,1.215251,1.156230,0.143693,1.012536,2.043102,0.753734,1.289368
3,644,64,1.000000,0.115432,-0.097133,0.212565,0.267767,-0.125122,0.392889,0.054753,-0.286186,0.340939,1.676732,0.451343,1.225390,0.271331,0.274110,-0.002779,0.503969,-0.272547,0.776516,0.248923,0.195616,0.053307,0.520121,-0.323470,0.843591,0.257349,0.009448,0.247901,0.366885,-0.160811,0.527697,0.433266,-0.171434,0.604700,1.815600,1.015278,0.800321
4,743,74,1.000000,0.950300,-0.081774,1.032074,1.807624,0.330351,1.477274,1.256963,0.025057,1.231906,2.152699,0.409957,1.742742,1.578271,0.594658,0.983613,1.368934,0.655958,0.712976,1.316019,0.493171,0.822848,1.898498,0.496212,1.402286,3.333277,1.768552,1.564724,4.377429,0.639380,3.738049,1.926753,0.396497,1.530256,2.361862,1.304073,1.057789
5,462,46,1.000000,1.198077,-0.022994,1.221072,0.144428,0.034525,0.109903,0.534266,0.195780,0.338486,0.864830,-0.213029,1.077859,2.684883,0.851995,1.832887,1.495874,0.589425,0.906450,1.564428,0.650908,0.913519,2.423182,0.755481,1.667701,1.759328,1.209767,0.549561,3.145815,0.865361,2.280454,1.255618,0.273988,0.981631,3.351825,2.172327,1.179498
6,370,37,1.000000,0.542472,-0.505053,1.047525,1.046671,0.503607,0.543064,0.803319,0.070154,0.733165,1.816659,0.590621,1.226038,3.385780,1.659496,1.726284,2.196537,0.861742,1.334795,1.871688,0.257395,1.614293,2.092111,1.383538,0.708573,1.846268,0.820177,1.026091,2.133089,0.215995,1.917094,1.798626,0.962005,0.836622,3.513501,1.494982,2.018518

Weights
ROI#,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000

quality control (localizer mask sizes)
Subject#,Session/Partition#,filename,ROI#1,ROI#2,ROI#3,ROI#4,ROI#5,ROI#6
1,1,/users/evelina9/more_evelina_files/MEGADATA/152_KAN_RHnonlit_01/firstlevel_langlocSN/locT_0041_percentile-ROI-level0.1.img,294,162,64,74,46,37
1,2,/users/evelina9/more_evelina_files/MEGADATA/152_KAN_RHnonlit_01/firstlevel_langlocSN/locT_0042_percentile-ROI-level0.1.img,294,162,64,74,46,37
2,1,/users/evelina9/more_evelina_files/MEGADATA/138_KAN_RHnonlit_02/firstlevel_langlocSN/locT_0041_percentile-ROI-level0.1.img,294,162,64,74,46,37
2,2,/users/evelina9/more_evelina_files/MEGADATA/138_KAN_RHnonlit_02/firstlevel_langlocSN/locT_0042_percentile-ROI-level0.1.img,294,162,64,74,46,37
3,1,/users/evelina9/more_evelina_files/MEGADATA/136_KAN_RHnonlit_03/firstlevel_langlocSN/locT_0041_percentile-ROI-level0.1.img,294,162,64,74,46,37
3,2,/users/evelina9/more_evelina_files/MEGADATA/136_KAN_RHnonlit_03/firstlevel_langlocSN/locT_0042_percentile-ROI-level0.1.img,294,162,64,74,46,37
4,1,/users/evelina9/more_evelina_files/MEGADATA/194_KAN_RHnonlit_04/firstlevel_langlocSN/locT_0041_percentile-ROI-level0.1.img,294,162,64,74,46,37
4,2,/users/evelina9/more_evelina_files/MEGADATA/194_KAN_RHnonlit_04/firstlevel_langlocSN/locT_0042_percentile-ROI-level0.1.img,294,162,64,74,46,37
5,1,/users/evelina9/more_evelina_files/MEGADATA/097_KAN_RHnonlit_05/firstlevel_langlocSN/locT_0041_percentile-ROI-level0.1.img,294,162,64,74,46,37
5,2,/users/evelina9/more_evelina_files/MEGADATA/097_KAN_RHnonlit_05/firstlevel_langlocSN/locT_0042_percentile-ROI-level0.1.img,294,162,64,74,46,37
6,1,/users/evelina9/more_evelina_files/MEGADATA/135_KAN_RHnonlit_06/firstlevel_langlocSN/locT_0041_percentile-ROI-level0.1.img,294,162,64,74,46,37
6,2,/users/evelina9/more_evelina_files/MEGADATA/135_KAN_RHnonlit_06/firstlevel_langlocSN/locT_0042_percentile-ROI-level0.1.img,294,162,64,74,46,37
7,1,/users/evelina9/more_evelina_files/MEGADATA/197_KAN_RHnonlit_07/firstlevel_langlocSN/locT_0041_percentile-ROI-level0.1.img,294,162,64,74,46,37
7,2,/users/evelina9/more_evelina_files/MEGADATA/197_KAN_RHnonlit_07/firstlevel_langlocSN/locT_0042_percentile-ROI-level0.1.img,294,162,64,74,46,37
8,1,/users/evelina9/more_evelina_files/MEGADATA/198_KAN_RHnonlit_08/firstlevel_langlocSN/locT_0041_percentile-ROI-level0.1.img,294,162,64,74,46,37
8,2,/users/evelina9/more_evelina_files/MEGADATA/198_KAN_RHnonlit_08/firstlevel_langlocSN/locT_0042_percentile-ROI-level0.1.img,294,162,64,74,46,37
9,1,/users/evelina9/more_evelina_files/MEGADATA/018_KAN_RHnonlit_09/firstlevel_langlocSN/locT_0041_percentile-ROI-level0.1.img,294,162,64,74,46,37
9,2,/users/evelina9/more_evelina_files/MEGADATA/018_KAN_RHnonlit_09/firstlevel_langlocSN/locT_0042_percentile-ROI-level0.1.img,294,162,64,74,46,37
10,1,/users/evelina9/more_evelina_files/MEGADATA/049_KAN_RHnonlit_10/firstlevel_langlocSN/locT_0041_percentile-ROI-level0.1.img,294,162,64,74,46,37
10,2,/users/evelina9/more_evelina_files/MEGADATA/049_KAN_RHnonlit_10/firstlevel_langlocSN/locT_0042_percentile-ROI-level0.1.img,294,162,64,74,46,37
11,1,/users/evelina9/more_evelina_files/MEGADATA/201_KAN_RHnonlit_11/firstlevel_langlocSN/locT_0041_percentile-ROI-level0.1.img,294,162,64,74,46,37
11,2,/users/evelina9/more_evelina_files/MEGADATA/201_KAN_RHnonlit_11/firstlevel_langlocSN/locT_0042_percentile-ROI-level0.1.img,294,162,64,74,46,37
