Contrast name:,Group (jokelitjoke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,1038,50,1.000000,0.973485,0.865272,0.108213,0.199316,0.194687,0.065689,6.578621,9.000000,0.012008,0.030979
2,1399,50,1.000000,0.689610,0.745980,-0.056369,0.190066,0.219457,0.065585,3.611674,9.000000,0.058486,0.087728
3,4863,50,1.000000,0.640087,0.531710,0.108377,0.145058,0.193688,0.148183,5.318177,9.000000,0.022052,0.044105
4,5104,50,1.000000,0.558334,0.497622,0.060712,0.171915,0.127943,0.101071,4.132212,9.000000,0.042484,0.076432
5,888,50,1.000000,0.515876,0.407427,0.108449,0.234055,0.293865,0.144052,1.667737,9.000000,0.242487,0.256750
6,1015,50,1.000000,0.297350,0.349934,-0.052583,0.094865,0.121699,0.057388,2.690046,9.000000,0.109197,0.140396
7,3526,50,1.000000,1.266928,1.123268,0.143660,0.267252,0.254158,0.055386,6.441763,9.000000,0.012779,0.030979
8,3381,50,1.000000,0.644886,0.611175,0.033711,0.147401,0.127365,0.060227,6.280173,9.000000,0.013768,0.030979
9,1858,50,1.000000,0.641845,0.542810,0.099035,0.121322,0.111838,0.048837,7.633455,9.000000,0.007632,0.027475
10,1770,50,1.000000,0.570575,0.608876,-0.038300,0.106106,0.117638,0.061427,8.228677,9.000000,0.006021,0.027093
11,2147,50,1.000000,1.544454,1.391497,0.152957,0.208264,0.221296,0.094518,15.267764,9.000000,0.000709,0.006384
12,2371,50,1.000000,1.072679,1.038765,0.033914,0.133860,0.119381,0.043770,20.779440,9.000000,0.000220,0.003967
13,2447,50,1.000000,0.425562,0.324638,0.100924,0.111539,0.094232,0.051469,3.974148,9.000000,0.046709,0.076432
14,1345,50,1.000000,0.134644,-0.070252,0.204896,0.143418,0.135692,0.081717,1.714626,9.000000,0.233142,0.256750
15,2065,50,1.000000,0.710920,0.630460,0.080461,0.149394,0.159017,0.031698,9.716586,9.000000,0.003495,0.020972
16,2222,50,1.000000,0.288813,0.228486,0.060327,0.166506,0.185718,0.062360,1.226182,9.000000,0.355632,0.355632
17,1615,50,1.000000,0.523353,0.366690,0.156664,0.211878,0.169423,0.082450,1.700360,9.000000,0.235940,0.256750
18,1958,50,1.000000,0.537275,0.449508,0.087767,0.167475,0.127284,0.062843,3.444709,9.000000,0.065108,0.090150
