Contrast name:,Group (HEH-E)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,1038,103,1.000000,1.424266,0.833734,0.590532,0.383149,0.264281,0.160371,4.068754,9.000000,0.044122,0.061092
2,1399,139,1.000000,1.516368,0.907499,0.608869,0.298544,0.163358,0.164059,8.417059,9.000000,0.005599,0.020657
3,4863,486,1.000000,0.986910,0.393617,0.593293,0.246966,0.200310,0.119331,7.194132,9.000000,0.009168,0.023574
4,5104,510,1.000000,1.252856,0.641339,0.611517,0.289585,0.206271,0.150529,5.570623,9.000000,0.019396,0.029094
5,888,88,1.000000,0.940985,0.584617,0.356368,0.275944,0.235090,0.128657,3.528442,9.000000,0.061680,0.079302
6,1015,101,1.000000,1.317959,0.883680,0.434280,0.285722,0.244053,0.087444,7.887948,9.000000,0.006886,0.020657
7,3526,352,1.000000,1.404619,0.928891,0.475728,0.314353,0.246801,0.119669,5.846880,9.000000,0.016922,0.027690
8,3381,338,1.000000,0.904091,0.634469,0.269622,0.265847,0.207097,0.086849,3.320394,9.000000,0.070634,0.084761
9,1858,185,1.000000,0.692360,0.433693,0.258667,0.153498,0.118881,0.059984,6.235188,9.000000,0.014060,0.027225
10,1770,177,1.000000,0.684041,0.437483,0.246557,0.213982,0.152039,0.092625,2.801452,9.000000,0.100814,0.113416
11,2147,214,1.000000,0.846257,0.466310,0.379947,0.160626,0.118220,0.085261,7.895819,9.000000,0.006864,0.020657
12,2371,237,1.000000,0.696736,0.428573,0.268163,0.141440,0.102922,0.077128,6.617951,9.000000,0.011797,0.026543
13,2447,244,1.000000,1.628627,1.176024,0.452603,0.248440,0.212934,0.076342,13.533511,9.000000,0.001102,0.012112
14,1345,134,1.000000,1.014664,0.608696,0.405969,0.241086,0.186348,0.089618,6.080322,9.000000,0.015125,0.027225
15,2065,206,1.000000,2.915015,2.140259,0.774756,0.525962,0.439863,0.142557,9.727287,9.000000,0.003482,0.020657
16,2222,222,1.000000,2.742138,2.012434,0.729705,0.452521,0.400673,0.122919,12.801557,9.000000,0.001346,0.012112
17,1615,161,1.000000,0.647447,0.357991,0.289455,0.275180,0.205146,0.110075,1.971259,9.000000,0.188914,0.188914
18,1958,195,1.000000,0.762893,0.440320,0.322573,0.248778,0.174706,0.114529,2.689369,9.000000,0.109250,0.115677
