subj,run,item,list,category,sentence,joke ending,nonjoke ending,displayed,response,RT,question onset
KAN_RHnonlit_05,2,40,2,joke,No patient should leave the hospital until he's strong enough to face the,cashier,outside,No patient should leave the hospital until he's strong enough to face the cashier.,2,0.786923885345459,6.002929925918579
KAN_RHnonlit_05,2,16,2,joke,Many a man's idea of a vacation is to rest quietly in the shade of a ,blonde,palm,Many a man's idea of a vacation is to rest quietly in the shade of a blonde.,3,1.4898521900177002,14.00497579574585
KAN_RHnonlit_05,2,138,2,joke,Modern science is amazing: garbage is now being made into,movies,gasoline,Modern science is amazing: garbage is now being made into movies.,3,0.6696510314941406,26.007906913757324
KAN_RHnonlit_05,2,151,2,nonjoke,One good turn gets most of the,blanket,profit,One good turn gets most of the profit.,2,0.5022060871124268,38.01086187362671
KAN_RHnonlit_05,2,112,2,joke,The art museum just acquired an early Rembrandt; it's done in ,Crayola,charcoal,The art museum just acquired an early Rembrandt; it's done in Crayola.,1,0.35155797004699707,46.01289200782776
KAN_RHnonlit_05,2,4,2,joke,I knew a streetwalker who was so exclusive she had an unlisted telephone,booth,line,I knew a streetwalker who was so exclusive she had an unlisted telephone booth.,1,1.9754440784454346,56.00693988800049
KAN_RHnonlit_05,2,96,2,joke,"When the kid came into the store and asked for empty boxes, the owner gave him the",register,crate,"When the kid came into the store and asked for empty boxes, the owner gave him the register.",3,0.5859661102294922,68.00994086265564
KAN_RHnonlit_05,2,46,2,joke,Arguments between couples are healthy; sometimes they even prevent,marriage,breakups,Arguments between couples are healthy; sometimes they even prevent marriage.,2,0.35161304473876953,76.01190686225891
KAN_RHnonlit_05,2,144,2,joke,The difference between a dog and fox is about five,beers,degrees,The difference between a dog and fox is about five beers.,3,0.40184998512268066,84.01386094093323
KAN_RHnonlit_05,2,97,2,nonjoke,"When I found out how much my wife spent on dresses last year, I dumped her and proposed to the",dressmaker,mistress,"When I found out how much my wife spent on dresses last year, I dumped her and proposed to the mistress.",1,1.5234041213989258,94.007985830307
KAN_RHnonlit_05,2,126,2,joke,My husband took the money we were saving to buy a new car and blew it all at the,laundry,tables,My husband took the money we were saving to buy a new car and blew it all at the laundry.,1,1.9252219200134277,102.00993299484253
KAN_RHnonlit_05,2,95,2,nonjoke,He was teaching his girlfriend how to swim when the lifeguard made them move to the ,lake,shallows,He was teaching his girlfriend how to swim when the lifeguard made them move to the shallows.,3,0.7701528072357178,112.00402998924255
KAN_RHnonlit_05,2,134,2,joke,My church welcomes all denominations but prefers,twenties,Mormons,My church welcomes all denominations but prefers twenties.,3,0.7868359088897705,120.00604891777039
KAN_RHnonlit_05,2,98,2,joke,"Nature has three ways of thinning the herd: drought, famine, and ",primaries,hunting,"Nature has three ways of thinning the herd: drought, famine, and primaries.",2,1.1885828971862793,128.0079848766327
KAN_RHnonlit_05,2,150,2,joke,One way to keep pornography away from teenagers is to put it in a,textbook,cabinet,One way to keep pornography away from teenagers is to put it in a textbook.,3,1.0881009101867676,136.01002192497253
KAN_RHnonlit_05,2,80,2,joke,He says he doesn't like to drink because it makes him feel,happy,sad,He says he doesn't like to drink because it makes him feel happy.,1,1.3894538879394531,144.01197791099548
KAN_RHnonlit_05,2,22,2,joke,Our son brought home a note from school saying they need a written excuse for his,presence,tardiness,Our son brought home a note from school saying they need a written excuse for his presence.,2,1.0211451053619385,154.0061218738556
KAN_RHnonlit_05,2,24,2,joke,"Where I'm from, the two most common elements are hydrogen and ",stupidity,nitrogen,"Where I'm from, the two most common elements are hydrogen and stupidity.",3,1.1718151569366455,168.00115585327148
KAN_RHnonlit_05,2,131,2,nonjoke,"Statistics indicate that Americans spend eighty million a year on games of chance, mostly",weddings, blackjack,"Statistics indicate that Americans spend eighty million a year on games of chance, mostly blackjack.",1,0.40184998512268066,176.00311088562012
KAN_RHnonlit_05,2,110,2,joke,It's not hard to meet expenses; they're ,everywhere,affordable,It's not hard to meet expenses; they're everywhere.,3,0.43532800674438477,184.00511193275452
KAN_RHnonlit_05,2,143,2,nonjoke,Most of the people running for office are not politicians; they're,commuters,candidates,Most of the people running for office are not politicians; they're candidates.,1,1.004403829574585,192.00711297988892
KAN_RHnonlit_05,2,91,2,nonjoke,"If there's one thing that counts in business, its",bookkeepers,resources,"If there's one thing that counts in business, its resources.",1,1.2220098972320557,200.00911498069763
KAN_RHnonlit_05,2,28,2,joke,Her press agent was operated on for an ingrown,beeper,eyelash,Her press agent was operated on for an ingrown beeper.,1,0.602715015411377,216.0130558013916
KAN_RHnonlit_05,2,82,2,joke,"When it comes to keeping warm, nothing beats a thermal",brunette,parka,"When it comes to keeping warm, nothing beats a thermal brunette.",1,0.6360599994659424,224.01505780220032
KAN_RHnonlit_05,2,42,2,joke,The best way to keep the milk from turning sour is to keep it in the,cow,cold,The best way to keep the milk from turning sour is to keep it in the cow.,2,0.45198607444763184,234.00909090042114
KAN_RHnonlit_05,2,81,2,nonjoke,Another thing that has developed by leaps and bounds is modern,dance,science,Another thing that has developed by leaps and bounds is modern science.,1,0.6697239875793457,254.01401591300964
KAN_RHnonlit_05,2,115,2,nonjoke,"In the game of golf, nothing counts as much as your",opponent,drives,"In the game of golf, nothing counts as much as your drives.",1,0.9877870082855225,264.0081069469452
KAN_RHnonlit_05,2,77,2,nonjoke,He is at the age when all the numbers in his little black book belong to,doctors,friends,He is at the age when all the numbers in his little black book belong to friends.,2,0.7030777931213379,280.0121200084686
KAN_RHnonlit_05,2,127,2,nonjoke,The penalty for dishonesty is the disgrace of dying,rich,unloved,The penalty for dishonesty is the disgrace of dying unloved.,1,0.5190060138702393,308.002299785614
KAN_RHnonlit_05,2,146,2,joke,"Love has its benefits, and they are usually called",alimony,memories,"Love has its benefits, and they are usually called alimony.",,,318.01311898231506
KAN_RHnonlit_05,2,23,2,nonjoke,The curse of heavy drinking is that afterwards you get a huge,bar tab,headache,The curse of heavy drinking is that afterwards you get a huge headache.,1,0.4520909786224365,326.0150899887085
KAN_RHnonlit_05,2,58,2,joke,The woman who has her husband eating out of her hand must save a lot of,dishwashing,heartbreak,The woman who has her husband eating out of her hand must save a lot of dishwashing.,2,0.6696510314941406,338.00136494636536
KAN_RHnonlit_05,2,13,2,nonjoke,A device for finding furniture in the dark is a ,shin,candle,A device for finding furniture in the dark is a candle.,1,0.5860059261322021,348.0121560096741
KAN_RHnonlit_05,2,57,2,nonjoke,"Congress taxes our income, our property, and our",patience,purchases,"Congress taxes our income, our property, and our purchases.",1,0.7198219299316406,356.0141408443451
KAN_RHnonlit_05,2,70,2,joke,The best gift for the man who has everything is,penicillin,neckties,The best gift for the man who has everything is penicillin.,,,366.00828790664673
KAN_RHnonlit_05,2,111,2,nonjoke,"Some husbands are good providers, but only if you count",children,salary,"Some husbands are good providers, but only if you count salary.",1,0.7032291889190674,382.012149810791
KAN_RHnonlit_05,2,113,2,nonjoke,Some people's only culture is,bacteria,radio,Some people's only culture is radio.,1,0.9877481460571289,402.00035977363586
KAN_RHnonlit_05,2,50,2,joke,The only time my father ever raised a hand to his children was in ,self- defense,discipline,The only time my father ever raised a hand to his children was in self- defense.,2,1.9921679496765137,430.00725197792053
KAN_RHnonlit_05,2,88,2,joke,The wind was so strong it blew out three,fuses,streetlights,The wind was so strong it blew out three fuses.,1,0.46883416175842285,438.00925183296204
KAN_RHnonlit_05,2,99,2,nonjoke,"He's never given a girl a present, but he did give a few a pretty good",reputation,surprise,"He's never given a girl a present, but he did give a few a pretty good surprise.",1,1.6741080284118652,446.0112318992615
KAN_RHnonlit_05,2,71,2,nonjoke,Save the whales; start a,collection,coalition,Save the whales; start a coalition.,1,0.8704700469970703,456.0053768157959
KAN_RHnonlit_05,2,63,2,nonjoke,"It's hard to raise a family nowadays, especially in the ",morning,country,"It's hard to raise a family nowadays, especially in the country.",1,0.6696231365203857,468.00840282440186
KAN_RHnonlit_05,2,106,2,joke,"Every time I wear my spring coat in the rain, it damages the",springs,fabric,"Every time I wear my spring coat in the rain, it damages the springs.",,,478.00247597694397
KAN_RHnonlit_05,2,122,2,joke,"If you're filthy rich, sending your kids to college is a wonderful", cleaner,luxury,"If you're filthy rich, sending your kids to college is a wonderful cleaner.",2,0.36829686164855957,492.01426792144775
KAN_RHnonlit_05,2,10,2,joke,Nothing in the known universe travels faster than,gossip,radiation,Nothing in the known universe travels faster than gossip.,3,0.4185521602630615,500.0162317752838
KAN_RHnonlit_05,2,152,2,joke,"Many things run in families, especially",noses,strength,"Many things run in families, especially noses.",3,0.3683018684387207,510.01033091545105
KAN_RHnonlit_05,2,2,2,joke,"She went on a fourteen day diet, but she only lost two",weeks,ounces,"She went on a fourteen day diet, but she only lost two weeks.",2,0.4519999027252197,518.0123119354248
KAN_RHnonlit_05,2,9,2,nonjoke,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a ",dress,name,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a name.",,,526.0142698287964
KAN_RHnonlit_05,2,14,2,joke,He got a medal for bravery on the beach when he rescued a girl from a ,lifeguard,shipwreck,He got a medal for bravery on the beach when he rescued a girl from a lifeguard.,1,1.590358018875122,536.0084359645844
KAN_RHnonlit_05,2,149,2,nonjoke,"She asked what state he was born in, and he said in the ",nude,East,"She asked what state he was born in, and he said in the East.",1,1.4396560192108154,548.0113508701324
KAN_RHnonlit_05,2,62,2,joke,"I can walk on water, but I stagger on ",alcohol,concrete,"I can walk on water, but I stagger on alcohol.",3,0.6696889400482178,556.0132608413696
KAN_RHnonlit_05,2,74,2,joke,He's planning an extended vacation; he hopes to spend three weeks on his,couch,sailboat,He's planning an extended vacation; he hopes to spend three weeks on his couch.,2,0.5858981609344482,566.0074408054352
