Contrast name:,Group (joke)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,50,1.000000,0.973485,0.199316,4.884118,11.000000,0.000242,0.000783
2,1399,50,1.000000,0.689610,0.190066,3.628275,11.000000,0.001984,0.003247
3,4863,50,1.000000,0.640087,0.145058,4.412615,11.000000,0.000521,0.001108
4,5104,50,1.000000,0.558334,0.171915,3.247731,11.000000,0.003883,0.005770
5,888,50,1.000000,0.515876,0.234055,2.204080,11.000000,0.024865,0.027973
6,1015,50,1.000000,0.297350,0.094865,3.134449,11.000000,0.004751,0.006108
7,3526,50,1.000000,1.266928,0.267252,4.740571,11.000000,0.000304,0.000783
8,3381,50,1.000000,0.644886,0.147401,4.375047,11.000000,0.000554,0.001108
9,1858,50,1.000000,0.641845,0.121322,5.290430,11.000000,0.000128,0.000576
10,1770,50,1.000000,0.570575,0.106106,5.377414,11.000000,0.000112,0.000576
11,2147,50,1.000000,1.544454,0.208264,7.415844,11.000000,0.000007,0.000060
12,2371,50,1.000000,1.072679,0.133860,8.013440,11.000000,0.000003,0.000058
13,2447,50,1.000000,0.425562,0.111539,3.815353,11.000000,0.001433,0.002579
14,1345,50,1.000000,0.134644,0.143418,0.938820,11.000000,0.183990,0.183990
15,2065,50,1.000000,0.710920,0.149394,4.758702,11.000000,0.000296,0.000783
16,2222,50,1.000000,0.288813,0.166506,1.734548,11.000000,0.055358,0.058614
17,1615,50,1.000000,0.523353,0.211878,2.470073,11.000000,0.015559,0.018670
18,1958,50,1.000000,0.537275,0.167475,3.208092,11.000000,0.004167,0.005770
