Data
ROI#,average ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#2[1],Subject#2[2],Subject#2[3],Subject#3[1],Subject#3[2],Subject#3[3],Subject#4[1],Subject#4[2],Subject#4[3],Subject#5[1],Subject#5[2],Subject#5[3],Subject#6[1],Subject#6[2],Subject#6[3],Subject#7[1],Subject#7[2],Subject#7[3],Subject#8[1],Subject#8[2],Subject#8[3],Subject#9[1],Subject#9[2],Subject#9[3],Subject#10[1],Subject#10[2],Subject#10[3],Subject#11[1],Subject#11[2],Subject#11[3],Subject#12[1],Subject#12[2],Subject#12[3]
1,1885,50,1.000000,1.207744,1.013903,0.193841,0.617584,0.652996,-0.035412,0.582093,0.124236,0.457857,-0.098985,-0.254665,0.155680,0.254735,0.166109,0.088626,0.837370,0.804898,0.032472,-0.180996,0.106673,-0.287669,0.125618,0.089067,0.036551,0.791163,0.506850,0.284312,1.094025,0.246508,0.847517,0.846017,0.996236,-0.150219,0.878485,0.605316,0.273169
2,3322,50,1.000000,0.390417,0.300889,0.089528,0.325775,0.220651,0.105124,0.189645,-0.139070,0.328716,0.772518,0.536088,0.236430,-0.022525,0.009756,-0.032281,1.067420,0.803248,0.264172,0.303910,0.362712,-0.058802,0.407506,0.328170,0.079336,0.733311,0.591176,0.142135,0.697893,0.419425,0.278467,0.425843,0.417892,0.007951,1.535936,1.248784,0.287153
3,1525,50,1.000000,0.277990,-0.160157,0.438148,-0.253592,-0.654080,0.400488,0.037900,-0.192294,0.230194,0.493019,0.375648,0.117371,0.024079,-0.050956,0.075036,-0.056340,-0.348284,0.291944,-0.244314,-0.105288,-0.139025,-0.237916,-0.355230,0.117313,0.800774,0.486312,0.314462,0.660288,-0.059335,0.719623,-0.161638,-0.890981,0.729342,0.370427,0.141964,0.228463
4,4182,50,1.000000,-0.011276,-0.266157,0.254881,-0.038545,-0.116284,0.077738,0.124571,-0.158204,0.282775,0.169008,0.000274,0.168734,-0.071557,0.049407,-0.120964,-0.208415,-0.605806,0.397391,-0.427918,-0.215863,-0.212056,0.204076,-0.198224,0.402301,0.161438,0.100821,0.060617,0.184798,-0.087151,0.271949,-0.043092,-0.038057,-0.005035,0.332396,0.260519,0.071877
5,3419,50,1.000000,0.170364,-0.067063,0.237427,0.327688,0.381573,-0.053886,0.260262,0.059377,0.200885,-0.229020,-0.227431,-0.001589,0.124266,0.206173,-0.081906,0.425137,0.025805,0.399332,-0.184001,-0.090490,-0.093511,0.029510,-0.302716,0.332226,0.209362,0.110051,0.099311,0.198239,-0.151753,0.349992,-0.447969,-0.326206,-0.121764,0.951546,0.600116,0.351429
6,1313,50,1.000000,0.323282,0.138129,0.185152,0.290969,0.879297,-0.588327,-0.003309,-0.232415,0.229106,0.268644,0.147978,0.120666,-0.096607,-0.145046,0.048439,0.658327,0.414188,0.244139,0.072600,0.048184,0.024417,0.250085,0.126779,0.123306,0.138472,0.121381,0.017091,-1.142604,-2.206000,1.063396,-0.447266,-0.463338,0.016072,0.956033,0.870967,0.085066
7,4051,50,1.000000,0.229021,0.027654,0.201366,0.514988,0.615532,-0.100544,-0.047305,-0.128519,0.081215,0.364224,0.240578,0.123646,0.219822,0.265704,-0.045882,0.234331,0.111516,0.122814,-0.197785,0.045607,-0.243392,0.124485,-0.012932,0.137416,0.465795,0.366367,0.099428,0.495673,0.284041,0.211632,0.068912,0.191353,-0.122441,0.310952,0.276219,0.034733

Weights
ROI#,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000

quality control (localizer mask sizes)
Subject#,Session/Partition#,filename,ROI#1,ROI#2,ROI#3,ROI#4,ROI#5,ROI#6,ROI#7
1,1,/users/evelina9/more_evelina_files/MEGADATA/152_KAN_RHnonlit_01/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50,50
2,1,/users/evelina9/more_evelina_files/MEGADATA/138_KAN_RHnonlit_02/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50,50
3,1,/users/evelina9/more_evelina_files/MEGADATA/136_KAN_RHnonlit_03/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50,50
4,1,/users/evelina9/more_evelina_files/MEGADATA/194_KAN_RHnonlit_04/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50,50
5,1,/users/evelina9/more_evelina_files/MEGADATA/097_KAN_RHnonlit_05/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50,50
6,1,/users/evelina9/more_evelina_files/MEGADATA/135_KAN_RHnonlit_06/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50,50
7,1,/users/evelina9/more_evelina_files/MEGADATA/197_KAN_RHnonlit_07/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50,50
8,1,/users/evelina9/more_evelina_files/MEGADATA/198_KAN_RHnonlit_08/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50,50
9,1,/users/evelina9/more_evelina_files/MEGADATA/018_KAN_RHnonlit_09/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50,50
10,1,/users/evelina9/more_evelina_files/MEGADATA/049_KAN_RHnonlit_10/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50,50
11,1,/users/evelina9/more_evelina_files/MEGADATA/201_KAN_RHnonlit_11/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50,50
12,1,/users/evelina9/more_evelina_files/MEGADATA/175_KAN_RHnonlit_12/firstlevel_ToMshort/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50,50
