Data
ROI#,ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#1[4],Subject#2[1],Subject#2[2],Subject#2[3],Subject#2[4],Subject#3[1],Subject#3[2],Subject#3[3],Subject#3[4],Subject#4[1],Subject#4[2],Subject#4[3],Subject#4[4],Subject#5[1],Subject#5[2],Subject#5[3],Subject#5[4],Subject#6[1],Subject#6[2],Subject#6[3],Subject#6[4],Subject#7[1],Subject#7[2],Subject#7[3],Subject#7[4],Subject#8[1],Subject#8[2],Subject#8[3],Subject#8[4],Subject#9[1],Subject#9[2],Subject#9[3],Subject#9[4],Subject#10[1],Subject#10[2],Subject#10[3],Subject#10[4],Subject#11[1],Subject#11[2],Subject#11[3],Subject#11[4],Subject#12[1],Subject#12[2],Subject#12[3],Subject#12[4]
1,389,38,1.000000,-0.155377,-0.456021,0.300644,-0.300644,0.282897,0.307137,-0.024239,0.024239,0.177534,-0.006169,0.183704,-0.183704,-0.297656,-0.228709,-0.068947,0.068947,-0.020656,-0.122119,0.101463,-0.101463,0.284748,-0.097915,0.382663,-0.382663,-0.297277,-0.303665,0.006388,-0.006388,-0.095353,-0.431944,0.336591,-0.336591,0.140644,0.083347,0.057297,-0.057297,0.489101,0.129471,0.359630,-0.359630,-0.043938,0.027020,-0.070957,0.070957,0.922278,0.566580,0.355699,-0.355699
2,389,38,1.000000,0.273575,0.214864,0.058711,-0.058711,0.227330,0.110913,0.116418,-0.116418,0.072243,-0.238170,0.310413,-0.310413,0.803193,0.593345,0.209848,-0.209848,1.278895,1.255536,0.023358,-0.023358,0.392628,0.343173,0.049456,-0.049456,-0.164440,-0.151220,-0.013220,0.013220,0.382443,0.308683,0.073760,-0.073760,1.459100,1.194006,0.265094,-0.265094,0.411408,0.311586,0.099822,-0.099822,0.454031,0.420727,0.033304,-0.033304,0.709704,0.462711,0.246993,-0.246993
3,389,38,1.000000,-0.100746,-0.295709,0.194963,-0.194963,0.215245,0.181024,0.034221,-0.034221,0.209606,0.020798,0.188808,-0.188808,0.574308,0.453362,0.120946,-0.120946,0.027867,0.082493,-0.054626,0.054626,0.000851,-0.395302,0.396153,-0.396153,-0.679952,-0.394957,-0.284995,0.284995,0.324084,-0.027360,0.351444,-0.351444,0.194154,0.117479,0.076675,-0.076675,-0.109055,-0.428440,0.319384,-0.319384,0.113589,0.077329,0.036259,-0.036259,0.408735,0.349039,0.059696,-0.059696
4,163,16,1.000000,-0.136592,-1.421799,1.285207,-1.285207,-0.319480,0.371559,-0.691039,0.691039,-0.802364,-1.338955,0.536591,-0.536591,0.993016,0.611976,0.381040,-0.381040,1.014886,0.154173,0.860713,-0.860713,0.794074,0.396197,0.397877,-0.397877,0.058777,0.047848,0.010929,-0.010929,-0.143663,-0.077046,-0.066617,0.066617,0.132796,-0.258124,0.390920,-0.390920,-1.851471,-2.749965,0.898494,-0.898494,-0.302246,-1.651775,1.349529,-1.349529,0.865538,0.335126,0.530412,-0.530412
5,378,37,1.000000,0.741975,0.444443,0.297532,-0.297532,0.718913,0.674880,0.044033,-0.044033,0.925007,0.147888,0.777119,-0.777119,-0.134541,-0.250583,0.116041,-0.116041,0.630858,0.364172,0.266686,-0.266686,1.271386,1.099074,0.172312,-0.172312,-0.473700,-0.123422,-0.350278,0.350278,0.626742,0.456816,0.169926,-0.169926,0.903515,0.464006,0.439509,-0.439509,1.205611,0.177295,1.028316,-1.028316,-0.611250,-0.321603,-0.289647,0.289647,1.138988,0.733745,0.405243,-0.405243

Weights
ROI#,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000

quality control (localizer mask sizes)
Subject#,Session/Partition#,filename,ROI#1,ROI#2,ROI#3,ROI#4,ROI#5
1,1,/users/evelina9/more_evelina_files/MEGADATA/152_KAN_RHnonlit_01/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,38,38,38,16,37
2,1,/users/evelina9/more_evelina_files/MEGADATA/138_KAN_RHnonlit_02/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,38,38,38,16,37
3,1,/users/evelina9/more_evelina_files/MEGADATA/136_KAN_RHnonlit_03/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,38,38,38,16,37
4,1,/users/evelina9/more_evelina_files/MEGADATA/194_KAN_RHnonlit_04/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,38,38,38,16,37
5,1,/users/evelina9/more_evelina_files/MEGADATA/097_KAN_RHnonlit_05/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,38,38,38,16,37
6,1,/users/evelina9/more_evelina_files/MEGADATA/135_KAN_RHnonlit_06/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,38,38,38,16,37
7,1,/users/evelina9/more_evelina_files/MEGADATA/197_KAN_RHnonlit_07/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,38,38,38,16,37
8,1,/users/evelina9/more_evelina_files/MEGADATA/198_KAN_RHnonlit_08/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,38,38,38,16,37
9,1,/users/evelina9/more_evelina_files/MEGADATA/018_KAN_RHnonlit_09/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,38,38,38,16,37
10,1,/users/evelina9/more_evelina_files/MEGADATA/049_KAN_RHnonlit_10/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,38,38,38,16,37
11,1,/users/evelina9/more_evelina_files/MEGADATA/201_KAN_RHnonlit_11/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,38,38,38,16,37
12,1,/users/evelina9/more_evelina_files/MEGADATA/175_KAN_RHnonlit_12/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,38,38,38,16,37
