subj,run,item,list,category,sentence,joke ending,nonjoke ending,displayed,response,RT,question onset,para conditions
KAN_RHnonlit_06,2,153,1,joke,The husband who catches his wife in the act is probably on the,trapeze,snoop,The husband who catches his wife in the act is probably on the trapeze.,1,0.77005887,6.000534058,2
KAN_RHnonlit_06,2,126,1,nonjoke,My husband took the money we were saving to buy a new car and blew it all at the,laundry,tables,My husband took the money we were saving to buy a new car and blew it all at the tables.,1,0.435261965,14.00244594,2
KAN_RHnonlit_06,2,139,1,joke,They redecorated the bar with new,drunks,wood,They redecorated the bar with new drunks.,2,0.736555815,26.00531507,3
KAN_RHnonlit_06,2,137,1,joke,A man who has lost ninety percent of his brain is called a,widower,zombie,A man who has lost ninety percent of his brain is called a widower.,2,0.686301947,38.0082221,3
KAN_RHnonlit_06,2,146,1,nonjoke,"Love has its benefits, and they are usually called",alimony,memories,"Love has its benefits, and they are usually called memories.",1,0.837089062,46.01010895,2
KAN_RHnonlit_06,2,85,1,joke,"Frequent naps prevent old age, especially when taken while",driving,relaxed,"Frequent naps prevent old age, especially when taken while driving.",2,1.807986975,56.00412703,3
KAN_RHnonlit_06,2,91,1,joke,"If there's one thing that counts in business, its",bookkeepers,resources,"If there's one thing that counts in business, its bookkeepers.",2,0.853739023,68.00714207,3
KAN_RHnonlit_06,2,107,1,joke,The difference between a good speaker and a bad one is often a nice,nap,diction,The difference between a good speaker and a bad one is often a nice nap.,2,0.468703032,76.00900698,3
KAN_RHnonlit_06,2,104,1,nonjoke,Politicians who are as American as apple pie still want their,slice,rewards,Politicians who are as American as apple pie still want their rewards.,1,0.719819069,84.01093292,2
KAN_RHnonlit_06,2,114,1,nonjoke,It's extraordinary what fine poker hand you get when you're playing,bridge,stud,It's extraordinary what fine poker hand you get when you're playing stud.,1,0.920702934,94.00501204,2
KAN_RHnonlit_06,2,33,1,joke,Some people think courtship is the first in a series of steps leading to ,divorce,romance,Some people think courtship is the first in a series of steps leading to divorce.,1,0.435267925,102.006881,2
KAN_RHnonlit_06,2,12,1,nonjoke,In some marriages the bride is given away by the ,press,family ,In some marriages the bride is given away by the family .,1,0.887140989,112.0009999,2
KAN_RHnonlit_06,2,20,1,nonjoke,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a",balloon,truck,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.",1,1.121689081,120.0028529,2
KAN_RHnonlit_06,2,23,1,joke,The curse of heavy drinking is that afterwards you get a huge,bar tab,headache,The curse of heavy drinking is that afterwards you get a huge bar tab.,2,0.836983919,128.004806,3
KAN_RHnonlit_06,2,64,1,nonjoke,The best way to stop an elephant from charging is to cut off its,credit,toes,The best way to stop an elephant from charging is to cut off its toes.,1,0.334853888,136.006742,2
KAN_RHnonlit_06,2,45,1,joke,"She is so modest, she pulls down the shade to change her", mind,jacket,"She is so modest, she pulls down the shade to change her mind.",2,1.021104097,144.0087249,3
KAN_RHnonlit_06,2,63,1,joke,"It's hard to raise a family nowadays, especially in the ",morning,country,"It's hard to raise a family nowadays, especially in the morning.",2,0.53571701,154.002727,3
KAN_RHnonlit_06,2,151,1,joke,One good turn gets most of the,blanket,profit,One good turn gets most of the blanket.,3,0.435231924,168.0144989,4
KAN_RHnonlit_06,2,87,1,joke,"It's always nicer to give than to receive, especially when its your",opinion,parents,"It's always nicer to give than to receive, especially when its your opinion.",2,1.088201046,176.0163779,3
KAN_RHnonlit_06,2,14,1,nonjoke,He got a medal for bravery on the beach when he rescued a girl from a ,lifeguard,shipwreck,He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,1,0.61937809,184.001642,2
KAN_RHnonlit_06,2,76,1,nonjoke,"Parents support clubs for teenagers, especially when they lack other forms of",punishment,diversion,"Parents support clubs for teenagers, especially when they lack other forms of diversion.",1,0.954166889,192.0035541,2
KAN_RHnonlit_06,2,37,1,joke,"The cops claimed that the prisoner just decided to come clean, but most people think he was forced into the",bathtub,admission,"The cops claimed that the prisoner just decided to come clean, but most people think he was forced into the bathtub.",2,1.155052185,200.0054629,3
KAN_RHnonlit_06,2,36,1,nonjoke,A problem drinker is one who never,buys,quits,A problem drinker is one who never quits.,1,0.937390089,216.0093639,2
KAN_RHnonlit_06,2,11,1,joke,"He owns stock in a company that pays quarterly dividends, so every three months they send him a",quarter,statement,"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.",1,1.891662121,224.0112779,2
KAN_RHnonlit_06,2,128,1,nonjoke,"Figures don't lie, except on the",beaches,page,"Figures don't lie, except on the page.",2,0.920718908,234.005285,3
KAN_RHnonlit_06,2,154,1,nonjoke,"This new computer works so quickly, it comes complete with",ulcers,games,"This new computer works so quickly, it comes complete with games.",2,0.870527983,254.010066,3
KAN_RHnonlit_06,2,13,1,joke,A device for finding furniture in the dark is a ,shin,candle,A device for finding furniture in the dark is a shin.,2,0.753341913,264.004132,3
KAN_RHnonlit_06,2,70,1,nonjoke,The best gift for the man who has everything is,penicillin,neckties,The best gift for the man who has everything is neckties.,1,0.45201683,280.0080171,2
KAN_RHnonlit_06,2,147,1,joke,"When we got divorced, my wife and I split the house; she got the",inside,kitchen,"When we got divorced, my wife and I split the house; she got the inside.",2,0.703034878,308.014812,3
KAN_RHnonlit_06,2,117,1,joke,"All roads lead to Rome, and all detours lead to",profanity,somewhere,"All roads lead to Rome, and all detours lead to profanity.",1,0.80358696,318.0087659,2
