subj,run,item,list,category,sentence,joke ending,nonjoke ending,displayed,response,RT,question onset
KAN_RHnonlit_01,2,137,1,joke,A man who has lost ninety percent of his brain is called a,widower,zombie,A man who has lost ninety percent of his brain is called a widower.,1,1.0665569305419922,6.009842157363892
KAN_RHnonlit_01,2,84,1,nonjoke,"The convict told his cellmate how he'd blown all the money he stole on wine, women, and ",lawyers,crack,"The convict told his cellmate how he'd blown all the money he stole on wine, women, and crack.",1,0.5333268642425537,14.008994102478027
KAN_RHnonlit_01,2,110,1,nonjoke,It's not hard to meet expenses; they're ,everywhere,affordable,It's not hard to meet expenses; they're affordable.,1,1.0832750797271729,26.00785207748413
KAN_RHnonlit_01,2,75,1,joke,"When reviewing your notes for a test, the most important ones will be",illegible,capitalized,"When reviewing your notes for a test, the most important ones will be illegible.",2,0.466641902923584,38.00669312477112
KAN_RHnonlit_01,2,153,1,joke,The husband who catches his wife in the act is probably on the,trapeze,snoop,The husband who catches his wife in the act is probably on the trapeze.,3,0.3666529655456543,46.00582003593445
KAN_RHnonlit_01,2,148,1,nonjoke,The best bargain I ever got was when I went to a family garage sale and bought a ,grandma,toaster,The best bargain I ever got was when I went to a family garage sale and bought a toaster.,1,0.5167038440704346,56.004860162734985
KAN_RHnonlit_01,2,30,1,nonjoke,Nothing you put in a banana split is as potentially fattening as the,spoon,syrup,Nothing you put in a banana split is as potentially fattening as the syrup.,1,0.5666978359222412,68.00367617607117
KAN_RHnonlit_01,2,140,1,nonjoke,You can keep your kids in hot water with ,dishes,rules,You can keep your kids in hot water with rules.,2,0.6166379451751709,76.00288200378418
KAN_RHnonlit_01,2,91,1,joke,"If there's one thing that counts in business, its",bookkeepers,resources,"If there's one thing that counts in business, its bookkeepers.",3,0.46658897399902344,84.00215816497803
KAN_RHnonlit_01,2,87,1,joke,"It's always nicer to give than to receive, especially when its your",opinion,parents,"It's always nicer to give than to receive, especially when its your opinion.",2,0.3333308696746826,94.00111413002014
KAN_RHnonlit_01,2,53,1,joke,"By the time Mary had her fourteenth child, she'd run out of names to call her ",husband,offspring,"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",3,0.5333161354064941,102.00031900405884
KAN_RHnonlit_01,2,107,1,joke,The difference between a good speaker and a bad one is often a nice,nap,diction,The difference between a good speaker and a bad one is often a nice nap.,2,0.38329005241394043,112.01602602005005
KAN_RHnonlit_01,2,132,1,nonjoke,The last time a guy in a mask took all my money I was in,surgery,shock,The last time a guy in a mask took all my money I was in shock.,1,1.116546869277954,120.01524615287781
KAN_RHnonlit_01,2,24,1,nonjoke,"Where I'm from, the two most common elements are hydrogen and ",stupidity,nitrogen,"Where I'm from, the two most common elements are hydrogen and nitrogen.",2,0.733173131942749,128.01443696022034
KAN_RHnonlit_01,2,10,1,nonjoke,Nothing in the known universe travels faster than,gossip,radiation,Nothing in the known universe travels faster than radiation.,1,0.300076961517334,136.01356506347656
KAN_RHnonlit_01,2,79,1,joke,She puts something behind her ears to attract men; lately she's been using her,ankles,vanilla,She puts something behind her ears to attract men; lately she's been using her ankles.,3,0.43332409858703613,144.01279306411743
KAN_RHnonlit_01,2,124,1,nonjoke,"I've got Parkinson's disease, and he's got", mine,gout,"I've got Parkinson's disease, and he's got gout.",1,0.4333341121673584,154.0118019580841
KAN_RHnonlit_01,2,144,1,nonjoke,The difference between a dog and fox is about five,beers,degrees,The difference between a dog and fox is about five degrees.,1,0.7998731136322021,168.01049995422363
KAN_RHnonlit_01,2,143,1,joke,Most of the people running for office are not politicians; they're,commuters,candidates,Most of the people running for office are not politicians; they're commuters.,3,1.0999269485473633,176.0096321105957
KAN_RHnonlit_01,2,109,1,joke,Many a freshman helps the college of his choice by becoming a ,dropout,member,Many a freshman helps the college of his choice by becoming a dropout.,2,1.3831398487091064,184.00889110565186
KAN_RHnonlit_01,2,80,1,nonjoke,He says he doesn't like to drink because it makes him feel,happy,sad,He says he doesn't like to drink because it makes him feel sad.,1,0.33330798149108887,192.0081021785736
KAN_RHnonlit_01,2,95,1,joke,He was teaching his girlfriend how to swim when the lifeguard made them move to the ,lake,shallows,He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,1,0.3000349998474121,200.00725197792053
