"subj","category","1","2","3","4","NA"
"KAN_RHnonlit_01","joke",10,24,32,9,3
"KAN_RHnonlit_01","nonjoke",53,20,1,1,3
"KAN_RHnonlit_02","joke",9,35,22,10,2
"KAN_RHnonlit_02","nonjoke",51,20,2,0,5
"KAN_RHnonlit_03","joke",6,27,24,19,2
"KAN_RHnonlit_03","nonjoke",42,23,6,0,7
"KAN_RHnonlit_04","joke",15,25,6,0,5
"KAN_RHnonlit_04","nonjoke",48,5,0,0,0
"KAN_RHnonlit_05","joke",10,15,18,0,9
"KAN_RHnonlit_05","nonjoke",30,13,5,0,4
"KAN_RHnonlit_06","joke",14,34,2,0,2
"KAN_RHnonlit_06","nonjoke",44,7,1,0,0
"KAN_RHnonlit_07","joke",23,22,0,0,7
"KAN_RHnonlit_07","nonjoke",39,4,0,0,9
"KAN_RHnonlit_08","joke",6,25,9,2,10
"KAN_RHnonlit_08","nonjoke",39,8,1,0,4
"KAN_RHnonlit_09","joke",10,10,12,17,3
"KAN_RHnonlit_09","nonjoke",36,10,3,2,1
"KAN_RHnonlit_10","joke",7,11,18,10,6
"KAN_RHnonlit_10","nonjoke",29,12,2,3,6
"KAN_RHnonlit_11","joke",14,16,19,0,3
"KAN_RHnonlit_11","nonjoke",34,14,1,0,3
"KAN_RHnonlit_12","joke",4,19,16,9,4
"KAN_RHnonlit_12","nonjoke",45,4,0,1,2
