"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"1","1885","188","1.000000","0.473869","1","1"
"2","3322","332","1.000000","2.070280","1","1"
"3","1525","152","1.000000","1.141209","1","1"
"4","4182","418","1.000000","1.579741","1","1"
"5","3419","341","1.000000","1.579162","1","1"
"6","1313","131","1.000000","0.176716","1","1"
"7","4051","405","1.000000","1.420851","1","1"
"1","1885","188","1.000000","0.401677","1","2"
"2","3322","332","1.000000","0.818731","1","2"
"3","1525","152","1.000000","-0.112415","1","2"
"4","4182","418","1.000000","0.511936","1","2"
"5","3419","341","1.000000","0.160276","1","2"
"6","1313","131","1.000000","-0.307914","1","2"
"7","4051","405","1.000000","0.518939","1","2"
"1","1885","188","1.000000","0.072192","1","3"
"2","3322","332","1.000000","1.251549","1","3"
"3","1525","152","1.000000","1.253624","1","3"
"4","4182","418","1.000000","1.067805","1","3"
"5","3419","341","1.000000","1.418886","1","3"
"6","1313","131","1.000000","0.484631","1","3"
"7","4051","405","1.000000","0.901912","1","3"
"1","1885","188","1.000000","0.014780","2","1"
"2","3322","332","1.000000","1.541087","2","1"
"3","1525","152","1.000000","-0.534705","2","1"
"4","4182","418","1.000000","0.905928","2","1"
"5","3419","341","1.000000","0.982377","2","1"
"6","1313","131","1.000000","-0.043594","2","1"
"7","4051","405","1.000000","0.476871","2","1"
"1","1885","188","1.000000","-0.217544","2","2"
"2","3322","332","1.000000","0.562181","2","2"
"3","1525","152","1.000000","-0.366983","2","2"
"4","4182","418","1.000000","0.120708","2","2"
"5","3419","341","1.000000","0.006658","2","2"
"6","1313","131","1.000000","-0.141068","2","2"
"7","4051","405","1.000000","0.010707","2","2"
"1","1885","188","1.000000","0.232324","2","3"
"2","3322","332","1.000000","0.978906","2","3"
"3","1525","152","1.000000","-0.167723","2","3"
"4","4182","418","1.000000","0.785220","2","3"
"5","3419","341","1.000000","0.975720","2","3"
"6","1313","131","1.000000","0.097474","2","3"
"7","4051","405","1.000000","0.466164","2","3"
"1","1885","188","1.000000","0.860913","3","1"
"2","3322","332","1.000000","0.793453","3","1"
"3","1525","152","1.000000","-0.037829","3","1"
"4","4182","418","1.000000","0.7582","3","1"
"5","3419","341","1.000000","1.048243","3","1"
"6","1313","131","1.000000","0.157409","3","1"
"7","4051","405","1.000000","1.036619","3","1"
"1","1885","188","1.000000","-1.405262","3","2"
"2","3322","332","1.000000","-0.212648","3","2"
"3","1525","152","1.000000","-1.583016","3","2"
"4","4182","418","1.000000","-0.77849","3","2"
"5","3419","341","1.000000","-0.583776","3","2"
"6","1313","131","1.000000","-0.410499","3","2"
"7","4051","405","1.000000","-0.256589","3","2"
"1","1885","188","1.000000","2.266174","3","3"
"2","3322","332","1.000000","1.006101","3","3"
"3","1525","152","1.000000","1.545186","3","3"
"4","4182","418","1.000000","1.53669","3","3"
"5","3419","341","1.000000","1.632019","3","3"
"6","1313","131","1.000000","0.567908","3","3"
"7","4051","405","1.000000","1.293208","3","3"
"1","1885","188","1.000000","0.022939","4","1"
"2","3322","332","1.000000","0.949121","4","1"
"3","1525","152","1.000000","-0.2924","4","1"
"4","4182","418","1.000000","0.034538","4","1"
"5","3419","341","1.000000","0.40278","4","1"
"6","1313","131","1.000000","-0.405864","4","1"
"7","4051","405","1.000000","0.332018","4","1"
"1","1885","188","1.000000","0.209739","4","2"
"2","3322","332","1.000000","0.613038","4","2"
"3","1525","152","1.000000","0.197964","4","2"
"4","4182","418","1.000000","0.148377","4","2"
"5","3419","341","1.000000","0.153829","4","2"
"6","1313","131","1.000000","-0.248428","4","2"
"7","4051","405","1.000000","0.167018","4","2"
"1","1885","188","1.000000","-0.186799","4","3"
"2","3322","332","1.000000","0.336083","4","3"
"3","1525","152","1.000000","-0.490365","4","3"
"4","4182","418","1.000000","-0.113839","4","3"
"5","3419","341","1.000000","0.248951","4","3"
"6","1313","131","1.000000","-0.157435","4","3"
"7","4051","405","1.000000","0.164999","4","3"
"1","1885","188","1.000000","1.931957","5","1"
"2","3322","332","1.000000","1.832708","5","1"
"3","1525","152","1.000000","0.300673","5","1"
"4","4182","418","1.000000","1.503999","5","1"
"5","3419","341","1.000000","1.718959","5","1"
"6","1313","131","1.000000","0.394499","5","1"
"7","4051","405","1.000000","1.690742","5","1"
"1","1885","188","1.000000","0.953278","5","2"
"2","3322","332","1.000000","0.8071","5","2"
"3","1525","152","1.000000","0.332658","5","2"
"4","4182","418","1.000000","0.553632","5","2"
"5","3419","341","1.000000","0.390079","5","2"
"6","1313","131","1.000000","0.376727","5","2"
"7","4051","405","1.000000","0.435484","5","2"
"1","1885","188","1.000000","0.97868","5","3"
"2","3322","332","1.000000","1.025608","5","3"
